#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result,RedNav,RedRaise,RedDeck,RedHull,RedNest,RedHoist,BlueNav,BlueRaise,BlueDeck,BlueHull,BlueNest,BlueHoist
1,9225,10138,7221,8522,7226,8832,64•,117,BLUE,0,0.06666666666666668,10,9,0,2,0,1.0333333333333334,30,7,1,1
2,9568,9594,9228,6002,5086,10003,29•,97•,BLUE,0,0.9666666666666667,10,0,0,2,0,2.0,17,7,1,2
3,9227,3603,6033,6087,8041,3620,89•,149•,BLUE,0,1.0666666666666667,20,5,1,2,0,0.8666666666666667,24,14,2,2
4,4381,4568,6753,7155,5676,1918,98•,98•,TIE,0,1.4333333333333333,17,11,0,2,0,0.39999999999999997,17,13,0,2
5,4810,10120,6078,6121,8611,7254,90•,70•,RED,1,1.5666666666666667,15,7,0,2,0,1.0,19,6,0,2
6,8286,8424,6642,10097,7855,10004,66•,40•,RED,1,0.06666666666666667,9,4,0,2,0,0.06666666666666667,8,4,0,2
7,7155,4453,6100,6077,7794,6002,64•,99•,BLUE,0,1.0666666666666667,20,3,0,2,1,1.9,15,5,1,2
8,8041,3603,1918,10138,10003,4568,112•,50•,RED,0,1.2,11,16,1,2,0,0.26666666666666666,17,2,0,2
9,10004,9228,8611,3620,10097,8522,50•,118•,BLUE,0,1.0,14,3,0,2,0,2.033333333333333,20,9,2,2
10,7226,4453,7794,9568,4810,6121,77•,92•,BLUE,0,1.0,18,5,0,2,1,0.9333333333333333,15,8,0,2
11,6100,8424,6753,8832,9227,8286,84•,69•,RED,0,1.0,27,5,0,2,1,0.13333333333333333,14,4,0,2
12,10120,9594,6087,5086,7855,6033,68•,46•,RED,0,0.06666666666666667,24,3,0,2,0,0.03333333333333333,16,2,0,2
13,5676,6642,6078,9225,4381,6077,96•,101•,BLUE,1,1.7,23,4,0,2,1,0.3333333333333333,20,9,0,2
14,10004,9568,7254,7221,7226,1918,48•,119•,BLUE,0,0.06666666666666667,17,2,0,2,1,2.1,13,11,0,2
15,6033,8832,6121,4568,9594,10097,61•,42•,RED,0,-0.06666666666666667,13,6,0,2,0,1.2333333333333336,13,2,0,2
16,6642,4381,4453,8522,10120,7155,60•,77•,BLUE,0,1.3666666666666667,14,6,0,2,1,0.16666666666666666,20,3,0,2
17,3603,10138,7855,8611,8041,6100,84•,88•,BLUE,0,1.0,19,5,1,2,0,1.0,16,10,0,2
